,id,date,area,price,age,postalCode,district,percent,totalPrice,dateShamsi,usingType,frameType,year,quarter,month,region
6567,16090552,2018-03-01,75.18,1.9287040000000002,57,133191,10,100.0,145.0,1396/12/10,مسکوني,بدون اسکلت,2018-01-01,2018-01-01,2018-03-01,13319.0
1850,16124544,2018-03-10,100.0,8.65,1,169583,1,100.0,865.0,1396/12/19,مسکوني,بتونی,2018-01-01,2018-01-01,2018-03-01,16958.0
598,16619699,2018-07-16,47.91,9.361302,4,165374,4,100.0,448.5,1397/04/25,مسکوني,فلزی,2018-01-01,2018-07-01,2018-07-01,16537.0
626,16060868,2018-02-22,113.0,4.424779,1,178375,15,100.0,500.0,1396/12/03,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,17837.0
1206,16647808,2018-07-22,73.37,6.5421830000000005,0,163894,7,100.0,480.0,1397/04/31,مسکوني,فلزی,2018-01-01,2018-07-01,2018-07-01,16389.0
3635,15967119,2018-01-29,52.94,6.139025,10,164763,8,100.0,325.0,1396/11/09,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,16476.0
6181,16291821,2018-05-08,56.0,10.1,0,148493,5,100.0,565.6,1397/02/18,مسکوني,بتونی و فلزی,2018-01-01,2018-04-01,2018-05-01,14849.0
1686,15852843,2018-01-01,97.0,6.85567,0,14756,5,100.0,665.0,1396/10/11,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14756.0
1857,16524067,2018-06-26,88.0,3.045455,0,135897,17,100.0,268.0,1397/04/05,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,13589.0
1539,15912735,2018-01-16,45.0,6.8,0,147313,5,100.0,306.0,1396/10/26,مسکوني,بتونی و فلزی,2018-01-01,2018-01-01,2018-01-01,14731.0
1135,15988699,2018-02-04,44.8,7.098214,23,174861,13,100.0,318.0,1396/11/15,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,17486.0
6074,16073564,2018-02-25,126.21,6.695191,17,19819,2,100.0,845.0,1396/12/06,مسکوني,بتونی و فلزی,2018-01-01,2018-01-01,2018-02-01,19819.0
6683,15885636,2018-01-09,50.18,3.467517,0,171587,13,100.0,174.0,1396/10/19,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,17158.0
3091,16321722,2018-05-15,74.5,2.308725,17,135671,10,100.0,172.0,1397/02/25,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,13567.0
